epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6506,4.83494,4.23384,4.20976,0,0,0,0,4.2882,4.21342,4.15808,7.145e-05,7.145e-05,7.145e-05
2,61.3713,4.89964,4.13819,4.15989,0,0,0,0,4.28435,4.20779,4.15391,0.000154078,0.000154078,0.000154078
3,88.5091,4.50569,3.89961,4.08979,0,0,0,0,4.2763,4.19966,4.14693,0.00023331,0.00023331,0.00023331
4,116.39,4.43928,3.51784,4.02206,0,0,0,0,4.2663,4.19006,4.13902,0.000309147,0.000309147,0.000309147
5,144.65,3.97018,3.30205,3.88565,0,0,0,0,4.25382,4.17946,4.13036,0.000381589,0.000381589,0.000381589
6,169.884,3.88016,2.8964,3.7491,0,0,0,0,4.24175,4.16677,4.12287,0.000450635,0.000450635,0.000450635
7,195.434,3.07248,2.56697,3.57119,0,0,0,0,4.22324,4.145,4.1114,0.000516286,0.000516286,0.000516286
8,219.693,2.64284,2.24375,3.43467,0,0,0,0,4.22153,4.13533,4.11228,0.000578542,0.000578542,0.000578542
9,244.127,2.37064,2.15937,3.31174,0,0,0,0,4.18418,4.09695,4.09063,0.000637403,0.000637403,0.000637403
10,269.022,2.20307,1.96879,3.17088,0,0,0,0,4.20532,4.11133,4.10797,0.000692868,0.000692868,0.000692868
